title,year,date,url,comments,cats
"After three decades on a changing Van Brunt Street,  Tony from Red Hook Coffee Shop might retire, by Noah Phillips",2018,Nov 15th,http://www.star-revue.com/tony-from-red-hook-coffee-shop/,1,"['Food', 'Red Hook Restaurants', 'Van Brunt Street']"
Album Review: Girls on Grass – “Dirty Power” – September Gurl Music,2019,Apr 7th,http://www.star-revue.com/album-review-girls-on-grass-dirty-power-september-gurl-music/,,['Music']
Album Review: Ozark Highballers – “Going Down to ‘Leven Point” – Jalopy Records,2019,Apr 7th,http://www.star-revue.com/album-review-ozark-highballers-going-down-to-leven-point-jalopy-records/,,"['Arts', 'Music']"
"Alex House Project helps young moms, by Angela Johnson-Archer",2013,Dec 16th,http://www.star-revue.com/alex-house-project-helps-young-moms-by-angela-johnson-archer/,,"['Education', 'Feature Story', 'Red Hook Houses']"
"Alexandros Washburn,  Red Hook’s resiliency expert, by Halley Bondy",2015,Oct 5th,http://www.star-revue.com/alexandros-washburn-red-hooks-resiliency-expert-by-halley-bondy/,,['Sandy Related']
"All Aboard! Story, photos and graphs by Kimberly Gail Price",2017,Jul 6th,http://www.star-revue.com/aboard-story-photos-graphs-kimberly-gail-price/,,"['Red Hook Ferry', 'Transportation']"
"American Stevedoring Gone From Red Hook Terminal, by George Fiala",2014,Aug 27th,http://www.star-revue.com/american-stevedoring-gone-red-hook-terminal-george-fiala/,1,['Uncategorized']
Americana Legend Greg Brown At City Winery Saturday: Feb 9,2019,Feb 1st,http://www.star-revue.com/americana-legend-greg-brown-at-city-winery-saturday-feb-9/,,['Music']
"Amid blessings of gratitude, Addabbo launches Red Hook WIC center, by Noah Phillips",2016,Aug 12th,http://www.star-revue.com/addabbo-launches-red-hook-wic-center-amid-blessings/,,['Uncategorized']
"An Interview with Deacon Leroy Branch, by Laura Eng",2017,Nov 3rd,http://www.star-revue.com/interview-deacon-leroy-branch-laura-eng/,,['Religious News']
"An Italian Thanksgiving Feast with Theresa, by Emily Kluver",2016,Nov 17th,http://www.star-revue.com/italian-thanksgiving-feast-theresa-emily-kluver/,,['Uncategorized']
An Overview of The Brooklyn Folk Festival,2019,Apr 7th,http://www.star-revue.com/an-overview-of-the-brooklyn-folk-festival/,,['Music']
"An Urban Nomad – John McGill Banned,  by Kimberly Gail Price",2015,Sep 2nd,http://www.star-revue.com/an-urban-nomad-john-mcgill-banned-by-kimberly-gail-price/,,"['Arts', 'Feature Story']"
"Andrew White: Photographer Outside Looking In. Photos by Andrew White, Interview by Mike Cobb",2018,Nov 16th,http://www.star-revue.com/andrew-white-photographer-outside-looking-in-photos-by-andrew-white-interview-by-mike-cobb/,,['Arts']
Are the Red Hook cranes headed to Sunset Park? by George Fiala,2015,Jan 21st,http://www.star-revue.com/red-hook-cranes-headed-sunset-park-george-fiala/,1,"['Carlos Menchaca', 'Port Authority', 'Red Hook Containerport', 'Red Hook Shopping', 'Sunset Park', 'Uncategorized', 'Waterfront']"
Art Events for February,2019,Jan 31st,http://www.star-revue.com/art-events-for-february/,,['Arts']
"Artisan to Entrepreneur graduates speak, by George Fiala",2014,Sep 12th,http://www.star-revue.com/artisan-entreprenuer-graduates-speak-george-fiala/,,"['Education', 'Red Hook Merchants', 'Sandy Related']"
Artist Annie Nicholson on turning grief into art,2018,Aug 8th,http://www.star-revue.com/artist-annie-nicholson-turning-grief-art/,,['Arts']
Artist Ulli Gruber launches new work at Sunny’s Bar,2018,Jul 27th,http://www.star-revue.com/artist-ulli-gruber-launches-new-work-sunnys-bar/,,['Arts']
"As Fortis Tower Casts Shadow Over Cobble Hill, NYU Langone Site Sits Idle",2019,Feb 1st,http://www.star-revue.com/as-fortis-tower-casts-shadow-over-cobble-hill-nyu-langone-site-sits-idle/,1,"['Cobble Hill', 'Land Use', 'LICH', 'Real Estate']"
Asase Yaa School of the Arts Prepares for Largest Kid’s Summer Camp to Date,2019,May 5th,http://www.star-revue.com/asase-yaa-school-of-the-arts-prepares-for-largest-kids-summer-camp-to-date/,0,"['Arts', 'Theater']"
"Ashley’s law brings justice to prison visits,  by Kimberly Gail Price",2014,Nov 7th,http://www.star-revue.com/ashleys-law-brings-justice-prison-visits-kimberly-gail-price/,,['Feature Story']
"Assembly candidates square off in series of debates, by George Fiala",2014,Aug 29th,http://www.star-revue.com/assembly-candidates-square-series-debates-george-fiala/,2,"['Election Coverage', 'Election Coveratge', 'Politics']"
"Assembly members Carroll and Simon hold rally to save School Based Health Clinics, by David Saunders",2017,Aug 15th,http://www.star-revue.com/assembly-members-carroll-simon-hold-rally-save-school-based-health-clinics-david-saunders/,,['Education']
"At Pioneer Works, “Stamped” by Claudia Rankine and John Lucas looks at blondness, by Diehl Edwards",2018,Jul 29th,http://www.star-revue.com/pioneer-works-stamped-claudia-rankine-john-lucas-looks-blondness/,1,['Arts']
"At least another year until the Red Hook  Senior Center gets its new digs, by George Fiala",2014,Dec 19th,http://www.star-revue.com/least-another-year-red-hook-senior-center-gets-new-digs-george-fiala/,,"['Carlos Menchaca', 'Red Hook Houses']"
Atlantic Basin Mystery SOLVED! by Horatio Hornblower,2016,Apr 1st,http://www.star-revue.com/atlantic-basin-mystery-solved-horatio-hornblower/,1,['Spoof']
"Atlantic Basin finally getting community use, by Sarah Matusek",2017,May 31st,http://www.star-revue.com/atlantic-basin-finally-getting-community-use-sarah-matusek/,1,['Red Hook Ferry']
"BASIS Independent Brooklyn’s Jo Goldfarb Talks Trucks, Traffic and Warehouses Story and photos by Erin DeGregorio",2018,Nov 15th,http://www.star-revue.com/basis-independent-brooklyns-jo-goldfarb-talks-trucks-traffic-and-warehouses-story-and-photos-by-erin-degregorio/,,"['Civic', 'Education', 'Transportation']"
"BASIS Independent School’s for-profit strategy, by George Fiala",2014,Jan 10th,http://www.star-revue.com/basis-independent-schools-for-profit-strategy-by-george-fiala/,2,"['Education', 'Red Hook Houses', 'Uncategorized']"
"BASIS School to open in Red Hook this fall, by George Fiala",2014,Mar 25th,http://www.star-revue.com/basis-school-to-open-in-red-hook-this-fall-by-george-fiala/,,"['Education', 'Red Hook Houses']"
BQX Courts Small Business Owners | BQX,2019,Mar 12th,http://www.star-revue.com/bqx-courts-small-business-owners-by-brett-yates/,,['BQX']
"BRENDAN J. DUGAN ’68, TRANSFORMATIONAL LEADER OF ST. FRANCIS COLLEGE, PASSES AWAY AT AGE 69",2016,Dec 19th,http://www.star-revue.com/brendan-j-dugan-68-transformational-leader-st-francis-college-passes-away-age-69/,1,['Obituary']
"BWAC’s two current shows draw big crowds and sales,  photos and text by Micah B. Rubin",2014,Jul 30th,http://www.star-revue.com/bwacs-two-current-shows-draw-big-crowds-sales-photos-text-micah-b-rubin-2/,,"['Arts', 'Feature Story']"
"Ballfields to be closed longer than thought,  but they will be pretty when done, by George Fiala",2017,Jul 5th,http://www.star-revue.com/ballfields-closed-longer-thought-will-pretty-done-george-fiala/,1,"['Environment', 'Red Hook Parks']"
"Balloon Pete, the Glass Man, by Emily Kluver",2017,Jun 9th,http://www.star-revue.com/balloon-pete-glass-man-emily-kluver/,2,['Feature Story']
"Bar Chord Resounds With Positive Vibrations, by Mike Cobb",2018,Nov 13th,http://www.star-revue.com/bar-chord-resounds-positive-vibrations/,,"['Bars', 'Music', 'Nightlife']"
"Barr Brothers stun Red Hook SummerStage, by George Fiala",2015,Jun 5th,http://www.star-revue.com/barr-brothers-stun-red-hook-summerstage-by-george-fiala/,,['Music']
"Battle of the Decades at Cora’s Red Hook Prom, by Mary Staub",2016,May 6th,http://www.star-revue.com/battle-decades-coras-red-hook-prom-mary-staub/,,['Red Hook Non Profits']
Beard Street Compromise? by Sarah Matusek,2017,Jul 4th,http://www.star-revue.com/beard-street-compromise-sarah-matusek/,,"['Bars', 'Local Issues - Red Hook', 'Quality of Life Issues']"
"Beautiful Fall day for Red Hook Harvest Festival, by Kimberly Gail Price",2014,Oct 27th,http://www.star-revue.com/beautiful-fall-day-red-hook-harvest-festival-kimberly-gail-price/,,"['Added Value Farm', 'Feature Story']"
BerlinRosen,2014,Aug 26th,http://www.star-revue.com/berlinrosen/,4,['Politics']
Betsy DeVos Visits Fairway? by Mark Penz,2017,Apr 1st,http://www.star-revue.com/betsy-devos-visits-fairway-mark-penz/,,['Blue Pencil Lunar-Revue']
"Betty the Flake Chipper, by Alexandra Corbin",2016,Nov 26th,http://www.star-revue.com/betty-flake-chipper-alexandra-corbin/,,['Arts']
Bicycling Dutchmen rediscover their New Amsterdam roots,2018,Sep 19th,http://www.star-revue.com/bicycling-dutchmen-rediscover-new-amsterdam-roots/,,"['Entertainment', 'Health']"
"Big Idea Week comes to PS 15, by George Fiala",2015,May 22nd,http://www.star-revue.com/big-idea-week-comes-to-ps-15-by-george-fiala/,,['Education']
"Big day at the Sunset Park Piers, by George Fiala",2018,May 12th,http://www.star-revue.com/big-day-sunset-park-piers-george-fiala/,2,['Waterfront']
Bird Box Wants to Kill You,2019,Jan 30th,http://www.star-revue.com/birx-box-wants-to-kill-you/,,"['Arts', 'Film']"
"Bishop Neil Tiedemann returns home, by Laura Eng",2017,Feb 22nd,http://www.star-revue.com/bishop-neil-tiedemann-returns-home-laura-eng/,,['Religious News']
"Black History month celebrated with new  Borough President at Historical Society, by Kimberly Gail Price",2014,Mar 9th,http://www.star-revue.com/black-history-month-celebrated-with-new-borough-president-at-historical-society-by-kimberly-gail-price/,,"['Kimberly Gail Price', 'Politics', 'Uncategorized']"
Book Review: The Question Authority,2019,Apr 3rd,http://www.star-revue.com/book-review-the-question-authority/,,['Books']
"Borough President joins CB6 for a Red Hook Screw, commentary by George Fiala",2015,Dec 20th,http://www.star-revue.com/borough-president-joins-cb6-for-a-red-hook-screw-commentary-by-george-fiala/,1,"['Oxford Nursing Home', 'Politics']"
Brad Lander press release regarding 4th Avenue & 9th Street Subway,2014,Aug 25th,http://www.star-revue.com/brad-lander-press-release-regarding-4th-avenue-9th-street-subway/,,"['MTA', 'Subway', 'Transportation']"
Brave New World Repertory Theatre presents A Muslim in the Midst ,2018,Oct 30th,http://www.star-revue.com/brave-new-world-repertory-theatre-presents-muslim-midst/,,['Theater']
"Breakfast at Rocky’s, by George Fiala",2015,Jan 29th,http://www.star-revue.com/breakfast-rockys-george-fiala/,,['Bars']
Briefly Swapping the Pen and Paper for a Pair of Kickboxing Gloves at a Class,2019,Jan 4th,http://www.star-revue.com/briefly-swapping-the-pen-and-paper-for-a-pair-of-kickboxing-gloves-at-a-class/,,['Health']
"Brooklyn Bridge Rotary Club to take part in End Hunger Outreach, by Kimberly Gail Price",2017,Mar 8th,http://www.star-revue.com/brooklyn-bridge-rotary-club-take-part-end-hunger-outreach-kimberly-gail-price/,,['Community Organizations']
"Brooklyn Collective  a place for creative Christmas shopping, by George Fiala",2014,Dec 20th,http://www.star-revue.com/brooklyn-collective-place-creative-christmas-shopping-george-fiala/,,['Holidays']
Brooklyn Craftsman Gene Manigo Rebuilds Life and Builds Custom Home Furnishings,2019,Feb 1st,http://www.star-revue.com/brooklyn-craftsman-gene-manigo-rebuilds-life-and-builds-custom-home-furnishings/,,['Red Hook Stories']
"Brooklyn Greenway Initiative knows how to throw a great fundraiser, by Sarah Matusek",2017,Jul 12th,http://www.star-revue.com/bgi-knows-throw-great-fundraiser-sarah-matusek/,,"['Environment', 'Parks']"
Brooklyn Heights Author Rachel Cline’s New Book Looks at MeToo — 9 Years Before the Movement Started ,2019,Feb 1st,http://www.star-revue.com/brooklyn-author-rachel-clines-new-book-looks-at-metoo-nine-years-before-the-movement-started/,,['Books']
Brooklyn Made and Brooklyn Restored:  An 1891 Wissner Concert Grand Piano,2015,Jan 28th,http://www.star-revue.com/brooklyn-made-brooklyn-restored-1891-wissner-concert-grand-piano/,,['Religious News']
Brooklyn Museum holds craft show this weekend,2015,Nov 20th,http://www.star-revue.com/brooklyn-museum-holds-craft-show-this-weekend/,,['Uncategorized']
Brooklyn Sewcial Teaches Kids Important Fashion and Life Skills,2019,Mar 31st,http://www.star-revue.com/brooklyn-sewcial-teaches-kids-important-fashion-and-life-skills/,,['Kids']
"Brooklyn Stage Company performs  Beckett’s Endgame at Sunny’s,  by CarloVogel",2015,Feb 9th,http://www.star-revue.com/brooklyn-stage-company-performs-becketts-endgame-sunnys-carlovogel/,1,"['Arts', 'Theater']"
Brooklyn’s LIZZIE AND THE MAKERS tour around the city to promote their latest EP MEANWHILE,2018,Nov 1st,http://www.star-revue.com/brooklyns-lizzie-and-the-makers-tour-around-the-city-to-promote-their-latest-ep-meanwhile/,,['Music']
Brownstones are not going out of style,2019,Mar 6th,http://www.star-revue.com/brownstones-are-not-going-out-of-style/,,['Real Estate']
Buddy Scotto and Joe Chirico are the new Bob Hope and Bing Crosby of Carroll Gardens.,2015,Apr 16th,http://www.star-revue.com/buddy-scotto-and-joe-chirico-are-the-new-bob-hope-and-bing-crosby-of-carroll-gardens/,,['Carroll Gardens']
BumbleBeesRus’ Red Hook Location Celebrates Seventh Anniversary,2019,Mar 31st,http://www.star-revue.com/bumblebeesrus-red-hook-location-celebrates-seventh-anniversary/,,['Kids']
"BumblebeesRus daycare has made a home in Red Hook, by Nathan Weiser",2017,May 21st,http://www.star-revue.com/bumblebeesrus-daycare-made-home-red-hook-nathan-weiser/,,['Education']
But I can’t,2017,Nov 6th,http://www.star-revue.com/but-i-cant/,,"['Election Coverage', 'Op Ed']"
"CB 6 Committee hears of plans for an upscale detox center on Beard Street, by George Fiala",2013,Dec 19th,http://www.star-revue.com/cb-6-committee-hears-of-plans-for-an-upscale-detox-center-on-beard-street-by-george-fiala/,1,"['Community Board 6', 'Real Estate']"
"CB 6 reverses committee decision on nursing home, by George Fiala",2015,Dec 10th,http://www.star-revue.com/cb-6-reverses-committee-decision-on-nursing-home-by-george-fiala/,,['Oxford Nursing Home']
"CB 6 votes against proposed Red Hook nursing home, by George Fiala",2015,Dec 5th,http://www.star-revue.com/cb-6-votes-against-proposed-red-hook-nursing-home-by-george-fiala/,5,"['Politics', 'Real Estate', 'Sandy Related']"
"CB 6 whacks BASIS School, by George Fiala",2013,Dec 13th,http://www.star-revue.com/cb-6-whacks-basis-school-by-george-fiala/,,"['Education', 'Red Hook Houses']"
"CGA members gain lobbying skills firsthand, by Noah Phillips",2017,Mar 21st,http://www.star-revue.com/cga-members-gain-lobbying-skills-firsthand-noah-phillips/,,"['Carroll Gardens', 'Community Organizations', 'Felix Ortiz', 'Politics']"
"CITY ANNOUNCES SELECTION OF COLLABORATIVE, COMMUNITY-BASED ART INSTALLATION ARK FOR THE ARTS ADDRESSING CLIMATE CHANGE IN RED HOOK, BROOKLYN",2017,Aug 17th,http://www.star-revue.com/city-announces-selection-collaborative-community-based-art-installation-ark-arts-addressing-climate-change-red-hook-brooklyn/,,['Arts']
Candidates speak,2014,Sep 8th,http://www.star-revue.com/candidates-speak/,,"['Felix Ortiz', 'Pete Sikora', 'Politics']"
Car hits mother and daughter at dangerous Red Hook intersection | Van Brunt Street,2017,May 8th,http://www.star-revue.com/car-hits-mother-daughter-dangerous-red-hook-intersection/,7,['Transportation']
"Carl McCall’s Ivory Tower, by George Fiala",2013,Aug 31st,http://www.star-revue.com/carl-mccalls-ivory-tower-by-george-fiala/,5,['LICH']
"Carlos Menchaca’s sophisticated sweep to power, by George Fiala",2013,Oct 3rd,http://www.star-revue.com/carlos-menchacas-sophisticated-sweep-to-power-by-george-fiala/,1,"['Carlos Menchaca', 'Feature Story', 'Politics']"
Carroll Gardens Brownies to help women’s shelter,2017,Mar 6th,http://www.star-revue.com/carroll-gardens-brownies-help-womens-shelter/,,['Carroll Gardens']
Carroll Gardens Kid Gets to be a Doctor for the Day,2019,May 6th,http://www.star-revue.com/carroll-gardens-kid-gets-to-be-a-doctor-for-the-day/,0,['Kids']
"Carroll Gardens author writes novels  based on her life experience, by Halley Bondy",2016,Jun 9th,http://www.star-revue.com/carroll-gardens-author-writes-novels-based-life-experience-halley-bondy/,,['Books']
"Carroll Gardens dedicates a new park, by Nathan Weiser",2017,Sep 27th,http://www.star-revue.com/carroll-gardens-dedicates-new-park-nathan-weiser/,2,['Carroll Gardens']
"Carroll Gardens library gets a homegrown mural, by Halley Bondy",2017,Jan 21st,http://www.star-revue.com/carroll-gardens-library-gets-homegrown-mural-halley-bondy/,,"['Arts', 'Carroll Gardens', 'Kids']"
Catching up with Greg Cartwright of Reigning Sound,2019,Apr 9th,http://www.star-revue.com/greg-cartwright-of-reigning-sound-to-play-hanks-march-29/,,['Music']
Cave Music at Crown Finish Caves,2019,May 1st,http://www.star-revue.com/cave-music-at-crown-finish-caves/,,['Music']
"Ceasar Zuniga announces UFT endorsement, by George Fiala",2014,Aug 18th,http://www.star-revue.com/ceasar-zuniga-announces-uft-endorsement-george-fiala/,,['Politics']
Celebrating Red Hook Preview,2015,Jul 20th,http://www.star-revue.com/celebrating-red-hook-preview/,,['Celebrating Red Hook']
"Celebrating Red Hook brings arts, artisans and musicians together for a great day in the sun!",2014,Jul 13th,http://www.star-revue.com/celebrating-red-hook-brings-arts-artisans-and-musicians-together-for-a-great-day-in-the-sun/,,"['Arts', 'Carlos Menchaca', 'Celebrating Brooklyn', 'Community Organizations', 'Cora Dance']"
"Celebrating Red Hook, by Kimberly Gail Price",2016,Aug 24th,http://www.star-revue.com/celebrating-red-hook-kimberly-gail-price/,,['Celebrating Red Hook']
Celebrating the Festival of Sukkot,2018,Oct 11th,http://www.star-revue.com/celebrating-festival-sukkot/,,['Religious News']
Celebrity Wedding in Red Hook: Demonic or Dramatic? By Emily Kluver,2016,Dec 10th,http://www.star-revue.com/celebrity-wedding-red-hook-demonic-dramatic-emily-kluver/,4,['Religious News']
Change Your Life with Three Pages ,2018,Nov 5th,http://www.star-revue.com/change-life-three-pages/,,"['Arts', 'Books']"
"Chef V Preps for a Street Food Revolution, by Sarah Matusek",2017,Aug 11th,http://www.star-revue.com/chef-v-preps-street-food-revolution-sarah-matusek/,,"['Carroll Gardens', 'Feature Story', 'Food']"
"Chicko: A Young Man Changed, by Emily Kluver",2017,Dec 12th,http://www.star-revue.com/chicko-young-man-changed/,,['Red Hook Initiative']
"Cholesterol: The Latest, Official",2019,Jan 3rd,http://www.star-revue.com/cholesterol-the-latest-official/,,['Health']
"Christmas Joy at Rec and Miccio Centers, by Nathan Weiser",2017,Jan 9th,http://www.star-revue.com/christmas-joy-rec-miccio-centers-nathan-weiser/,,"['Community Organizations', 'Holidays', 'Red Hook Non Profits']"
"Christmas Star to Shine Over Carroll Gardens, by Laura Eng",2018,Dec 12th,http://www.star-revue.com/christmas-star-to-shine-over-carroll-gardens-by-laura-eng/,1,"['Religious News', 'Uncategorized']"
"Church Fresco Receives a Facelift, By Emily Kluver",2016,Dec 17th,http://www.star-revue.com/church-fresco-receives-facelift-emily-kluver/,,['Religious News']
"City Comptroller calls Build It Back  “a case study in dysfunction”,  by George Fiala",2015,May 1st,http://www.star-revue.com/city-comptroller-calls-build-it-back-a-case-study-in-dysfunction-by-george-fiala/,,"['Politics', 'Sandy Related']"
"City Planning studies Red Hook streets, by George Fiala",2015,Feb 11th,http://www.star-revue.com/city-planning-studies-red-hook-streets-george-fiala/,,['Sunset Park']
"City makes case for retention tank location at EPA meeting, by George Fiala",2015,Jul 1st,http://www.star-revue.com/city-makes-case-for-retention-tank-location-at-epa-meeting-by-george-fiala/,1,"['Gowanus Canal', 'Parks']"
"City steps in to keep local daycare open, by Nathan Weiser",2016,Jun 14th,http://www.star-revue.com/city-steps-keep-local-daycare-open-nathan-weiser/,,['Education']
"City wants food trucks to go vertical, by Cummerband Cost",2017,Apr 1st,http://www.star-revue.com/city-wants-food-trucks-to-go-vertical-by-cummerband-cost/,,['Blue Pencil Lunar-Revue']
"City wants to evict a successful Gowanus film company by using eminent domain,  by George Fiala",2016,Jun 8th,http://www.star-revue.com/city-wants-evict-successful-gowanus-film-company-using-eminent-domain-george-fiala/,,['Gowanus Canal']
"Civic Association holds a big September meeting, by George Fiala",2016,Oct 5th,http://www.star-revue.com/civic-association-holds-big-september-meeting-george-fiala/,1,"['Red Hook Library', 'Red Hook Non Profits', 'Sandy Related']"
Civic Association touches touchy topics,2018,Oct 12th,http://www.star-revue.com/civic-association-touches-touch-topics/,,"['BQX', 'Civic', 'Red Hook Civic Association']"
"Cobble Hill to change forever as LICH becomes skyscrapers, by George Fiala",2015,May 19th,http://www.star-revue.com/cobble-hill-to-change-forever-as-lich-becomes-skyscrapers-by-george-fiala/,20,"['Brooklyn Bridge Park', 'Cobble Hill', 'LICH']"
"Coffey Park reopening delayed due to  old Dutch man looking for herring,  by Melvin Cowznofsky",2015,Apr 1st,http://www.star-revue.com/coffey-park-reopening-delayed-due-to-old-dutch-man-looking-for-herring-by-melvin-cowznofsky/,4,['Coffey Park']
"Coherency in Housing, by Mark Shames",2015,Dec 9th,http://www.star-revue.com/coherency-in-housing-by-mark-shames/,3,['Column']
"Collaboration is the word at  Dikeman Street’s Supersmith, by Halley Bondy",2016,Jul 12th,http://www.star-revue.com/collaboration-word-dikeman-streets-supersmith-halley-bondy/,,['Manufacturing']
"Columbia Street loses Escape Music Festival, by George Fiala",2014,Sep 29th,http://www.star-revue.com/columbia-street-loses-escape-music-festival-george-fiala/,,"['Port Authority', 'Waterfront']"
"Columbia Street shakes with party on Pier 9, by George Fiala",2014,Sep 13th,http://www.star-revue.com/columbia-street-shakes-party-pier-9-george-fiala/,1,['Port Authority']
"Columbia Waterfront District Merchant Association decides on monthly meetings,  by George Fiala",2015,Feb 12th,http://www.star-revue.com/columbia-waterfront-district-merchant-association-decides-monthly-meetings-george-fiala/,,['Red Hook Merchants']
"Column – My two wild days in zoning class, by George Fiala",2019,Mar 4th,http://www.star-revue.com/column-my-two-wild-days-in-zoning-class-by-george-fiala/,1,"['Gowanus Canal', 'Land Use']"
"Column: 3rd Rail Politics, by Michael Racioppo",2016,Jun 10th,http://www.star-revue.com/column-3rd-rail-politics-michael-racioppo/,1,['Column']
"Column: Gaining Yards, by Michael Racioppo",2016,Aug 8th,http://www.star-revue.com/column-gaining-yards-michael-racioppo/,,"['Column', 'Politics']"
Column: Macro  & Micro  by Michael Racioppo,2016,Oct 13th,http://www.star-revue.com/column-macro-micro-michael-racioppo/,1,"['Column', 'Politics']"
Column: Mike’s Say:  Keeping Their Word. by Michael Racioppo,2016,Jul 6th,http://www.star-revue.com/column-mikes-say-keeping-word-michael-racioppo/,,"['Op Ed', 'Politics']"
"Column: Smiling while stabbing LICH in the back, by George Fiala",2016,Jul 30th,http://www.star-revue.com/smiling-stab-back-george-fiala/,9,['LICH']
