"dcp_name","dcp_ceqrnumber","dcp_projectname","dcp_projectbrief","dcp_publicstatus_simp","dcp_borough","dcp_ulurp_nonulurp","dcp_communitydistricts","actiontypes","dcp_certifiedreferred","dcp_femafloodzonea","dcp_femafloodzonecoastala","dcp_femafloodzoneshadedx","dcp_femafloodzonev","applicants","lastmilestonedate","total_projects","has_centroid","center","ulurpnumbers"
"P2012K0665","16DCP100K","14-18 Carroll Street Rezoning","Zoning map change to include 3 Lots on Carroll Street between Van Brunt and Columbia (vacant since at least the 1980's and zoned M1-1) in an adjacent R6B zoning district to facilitate new residential development, and zoning text amendment to establish an MIHA coterminous with the rezoning area in Brooklyn Community District 6.","Completed","Brooklyn","ULURP","BK06","ZR;ZR;ZM;ZM;ZR;ZR;ZR;ZM;ZM;ZM;ZM;ZR","2016-06-20T04:00:00.000Z",false,false,true,false,,"2016-12-21T05:00:00.000Z",309,true,"[-74.0052670496795,40.6832809656189]","[""C150360ZMK"",""N160379ZRK""]"
"P2016K0335",,"Marco Polo Ristorante","Application for a new, pre-existing enclosed sidewalk café to operate under change of President of Corporation to operate with 10 tables and 30 seats at 345 Court Street on the S/E/C of Union Street.","Completed","Brooklyn","Non-ULURP","BK06","EC;EC","2016-11-30T05:00:00.000Z",false,false,false,false,,"2016-11-30T05:00:00.000Z",309,true,"[-73.9956808662483,40.6821991742864]","[""N160240ECK""]"
"P2016K0383",,"Park Slope Historic District Extension II","The Landmarks Preservation Commission is requesting a report from the City Planning Commission on the extension of a historic district in the Park Slope neighborhood of Brooklyn in Community District 6.","Completed","Brooklyn","Non-ULURP","BK06","HK","2016-05-09T04:00:00.000Z",false,false,false,false,,"2016-07-19T04:00:00.000Z",309,false,"[null,null]","[""N160299HKK""]"
"P2014K0378","15DCP193K","Oxford Nursing Home","Rezoning and Zoning text amendment to facilitate the development of a 200 bed, 7.5 story nursing home (UG3) and ambulatory medical facility (UG4) in Red Hook Brooklyn, Community District 6, zoned M2-1 and R5/C1-3.","Completed","Brooklyn","ULURP","BK06","ZS;ZS;ZC;ZR;ZR;ZM;ZC;ZM","2015-11-30T05:00:00.000Z",true,false,false,false,,"2016-05-30T04:00:00.000Z",309,true,"[-74.0125863217754,40.6786151582354]","[""C150361ZMK"",""C150362ZSK"",""N150363ZCK"",""N160081ZRK""]"
"P2015K0162","16DCP064K","435 Henry Street Curb Cut Authorization","A private application for a zoning authorization by the City Planning Commission, pursuant to ZR 25-631(f)(2), to permit the installation of a second curb cut on a combined zoning lot to facilitate the ground floor use of a proposed carriage house as a parking garage in Brooklyn Community District 6.","Completed","Brooklyn","Non-ULURP","BK06","ZA;ZA;ZA;ZA;ZA;ZA;ZA","2015-11-30T05:00:00.000Z",false,false,false,false,,"2016-03-02T05:00:00.000Z",309,true,"[-73.9978881864736,40.6863875138833]","[""N160111ZAK""]"
"P2014K0230","16DCP019K","Hamilton Plaza Modification and Waterfront Cert","Private application for the amendment of conditions of the Goya special permit to allow non-warehouse and non-office uses on the upper floors of the building and a chairperson certification to facilitate the change of use on an upper floor to a PCE (gym) along the Gowanus Canal in Brooklyn Commuinity District 6.","Completed","Brooklyn","Non-ULURP","BK06","ZS;ZS;ZC;ZC","2015-08-17T04:00:00.000Z",true,true,false,false,,"2015-11-04T05:00:00.000Z",309,true,"[-73.996306706557,40.6719014483365]","[""M780389BZSK"",""N160026ZCK""]"
"P2012K0182","12DCP026K","DIKEMAN ST DEMAPPING","The elimination, discontinuance and closing of a portion of Dikeman Street between Ferris Street and Conover Street, in the Red Hook area of Brooklyn, Community District 6, in order to acquire from the City that portion of the street which is encroached upon by the applicant's adjacent building.","Completed","Brooklyn","ULURP","BK06","MM;MM","2014-03-31T04:00:00.000Z",false,false,false,false,,"2014-09-12T04:00:00.000Z",309,true,"[-74.0149668509167,40.6780495463985]","[""C120093MMK""]"
"P2013K0362","14DPR006K","Red Hook Park Ballfield 3 Major Concession","DPR and Xavier High School are applying for a major concession to facilitate the renovation/modernization of a ballfield and to allow Xavier's continued use of the field on a scheduled basis in the Red Hook neighborhhod of Brooklyn Community District 6.","Completed","Brooklyn","ULURP","BK06","MC","2014-01-21T05:00:00.000Z",true,false,true,false,,"2014-06-13T04:00:00.000Z",309,true,"[-74.0070784413973,40.6721099767671]","[""C140227MCK""]"
"P2009K0023","08DCP033K","363-365 BOND STREET","A zoning map change, a general large scale plan, special permits, and zoning text amendments  that would allow the redevelopment of 2 blocks fronting on the Gowanus Canal in Brooklyn Community District 6. ","Completed","Brooklyn","ULURP","BK00;BK06;BX00;CY00;MN00;QN00;SI00","ZS;ZM;ZM;ZM;ZM;ZM;ZS;ZR;ZS;ZS;ZS;ZR;ZR;ZR;ZR;ZR;ZR;ZR;ZR;ZR;ZR;ZR;ZR;ZR;ZR","2008-09-08T04:00:00.000Z",true,,,,"TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP;TOLL BROOKLYN LP","2013-12-31T05:00:00.000Z",309,true,"[-73.990167568153,40.6777500477066]","[""C090047ZMK"",""C090048ZSK"",""N090049ZRK"",""N090050ZRY"",""N090051ZRY""]"
"P2013K0392","08DCP033K","363-365 Bond Street Waterfront Certifications","Two private applications for Waterfront Certifications by the Chairperson that proposed Waterfront Public Access Areas at 363-365 Bond Street along the Gowanus Canal in Brooklyn Community District 6 meet requirements and findings of the Zoning Resolution.","Completed","Brooklyn","Non-ULURP","BK06","ZC;ZC;ZC;ZC;ZC;ZC","2013-11-26T05:00:00.000Z",true,false,false,false,,"2013-12-31T05:00:00.000Z",309,true,"[-73.9899164649317,40.6780043349347]","[""N140170ZCK"",""N140171ZCK""]"
"P2013K0241",,"MARCO POLO RESTAURANT","ENCLOSED CAFE 10 TABLES & 30 SEATS","Completed","Brooklyn","Non-ULURP","BK06","EC;EC","2013-07-16T04:00:00.000Z",false,false,false,false,,"2013-07-16T04:00:00.000Z",309,true,"[-73.9956808662483,40.6821991742864]","[""N130016ECK""]"
"P2013K0129","13DCP145K","NYS Parole Office","To facilitate an as-of-right enlargement and use change of a one-story building (and change of use on a portion of a separate lot for off-site, required parking) on the Gowanus Canal, the Applicant is seeking two Chairperson zoning certifications in Brooklyn Community District 6.","Completed","Brooklyn","Non-ULURP","BK06","ZC;ZC;ZC;ZC","2013-07-02T04:00:00.000Z",false,false,false,false,,"2013-07-15T04:00:00.000Z",309,true,"[-73.9922671916109,40.6753591373502]","[""N130377ZCK"",""N130385ZCK""]"
"P2012K0364","08DCP033K","363-365 Bond Street","A private application by Lightstone for an as-of-right approval pursuant to the Restrictive Declaration to facilitate a mixed-use development with affordable housing and a Waterfront Public Access Areas on the bank of the Gowanus Canal in Brooklyn Community District 6.","Completed","Brooklyn","Non-ULURP","BK06","ZS;CM;ZS;CM;CM;ZS;CM;ZS;CM;CM;CM;CM",,true,false,false,false,,"2012-10-16T04:00:00.000Z",309,true,"[-73.9901695397742,40.6776708866848]","[""M090048AZSK"",""N130044CMK"",""N130226CMK""]"
"P2012K0603",,"Park Slope Historic District Extension","The Landmarks Preservation Commission is requesting a report from the City Planning Commission on the expansion of the Historic District adjacent to Prospect Park in the Windsor Terrace and Park Slope Neighborhoods of Brooklyn Community Districts 6 and 7.","Completed","Brooklyn","Non-ULURP","BK06;BK07","HK","2012-05-21T04:00:00.000Z",false,false,false,false,,"2012-07-31T04:00:00.000Z",309,false,"[null,null]","[""N120297HKK""]"
"P2012K0240","12DCP151K","WHOLE FOODS","A private application by Whole Foods for a Chairperson Zoning Certification pursuant to Article 6 Chaper 2 that a grocery store development in the Gowanus neighborhood of Brooklyn Community District 6 meets all Waterfront Public Access Area and Visual Corridor zoning regulations.","Completed","Brooklyn","Non-ULURP","BK06","ZC;ZC;ZC;ZC;ZC;ZC","2012-05-02T04:00:00.000Z",true,false,true,false,,"2012-05-15T04:00:00.000Z",309,true,"[-73.9894060713831,40.6751490359125]","[""N120287ZCK""]"
"P2012K0079",,"COIGNET STONE BUILDING","LANDMARK SITE & LP-2202A","Completed","Brooklyn","Non-ULURP","BK06","HK","2012-02-27T05:00:00.000Z",,,,,,"2012-04-23T04:00:00.000Z",309,true,"[-73.9882955039758,40.6750157660097]","[""N070006AHKK""]"
"P2011K0209","11DCP147K","SPECIAL 4TH AVE. ENHANCED COMM DIST","ZONING MAP AND TEXT AMENDMENT TO ESTABLISH THE SPECIAL FOURTH AVENUE ENHANCED COMMERCIAL DISTRICT","Completed","Brooklyn","ULURP","BK02;BK06;BK07","ZR;ZM","2011-06-20T04:00:00.000Z",,,,,,"2011-12-04T05:00:00.000Z",309,false,"[null,null]","[""C110386ZMK"",""N110387ZRK""]"
"P2012K0028","12DCP030K","LIBERTY WAREHOUSE","CERT. THAT NO WATERFRONT PUBLIC ACCESS AND VISUAL CORRIDORS*ARE REQUIRED.","Completed","Brooklyn","Non-ULURP","BK06","ZC",,,,,,,"2011-10-31T04:00:00.000Z",309,true,"[-74.0182612466893,40.6768558989007]","[""N120054ZCK""]"
"P2009K0144","09DCP032K","CARROLL STREET REZONING","09DCP032K: ZONING MAP AMENDMENT FROM M1-1 TO R6B","Completed","Brooklyn","ULURP","BK06","ZM;ZM","2010-10-25T04:00:00.000Z",,,,,,"2011-05-04T04:00:00.000Z",309,true,"[-74.0045121631389,40.683519124455]","[""C090225ZMK""]"
"P2011K0059","11DCP038K","20-30 CAROLL ST","ZONING MAP CHANGE FROM M1-1 TO R6B","Completed","Brooklyn","ULURP","BK06","ZM;ZM;ZM;ZM;ZM;ZM","2010-10-25T04:00:00.000Z",,,,,,"2011-05-04T04:00:00.000Z",309,true,"[-74.0049554107122,40.6831825238609]","[""C110118ZMK""]"
"P2011K0058","11SBS001K","ATLANTIC AVENUE BID","ATLANTIC AVENUE BID SERVICES WILL INCLUDE: SANITATION AND SECURITY, MARKETING AND PROMOTION, BEAUTIFICATION AND STREETSCAPE IMPROVEMENTS, ADVOCACY AND ADMINISTRATION","Completed","Brooklyn","Non-ULURP","BK02;BK06","BD","2010-11-23T05:00:00.000Z",,,,,"Department of Small Business Services","2011-01-18T05:00:00.000Z",309,false,"[null,null]","[""N110117BDK""]"
"P2010K0338",,"MARCO POLO RISTORANTE","RENEWAL-ENCLOSED CAFE WITH 30 SEATS","Completed","Brooklyn","Non-ULURP","BK06","EC","2010-12-23T05:00:00.000Z",,,,,,"2010-12-23T05:00:00.000Z",309,true,"[-73.9956808662483,40.6821991742864]","[""N100398ECK""]"
"P2009K0307","09DCP083K","CARROLL GARDENS & COLUMBIA ST","09DCP083K: AN AMENDMENT TO THE ZONING MAP TO REZONE 86 BLOCKS IN THE CA RROLL GARDENS/COLUMBIA STREET FROM R6 TO R6A, R6B, R7A","Completed","Brooklyn","ULURP","BK06","ZM","2009-06-01T04:00:00.000Z",,,,,,"2009-11-02T05:00:00.000Z",309,false,"[null,null]","[""C090462ZMK""]"
"P2007K0357","07DCP087K","111 UNION ST REZONING","07DCP087K: EXTENSION OF AN EXISTING C2-3 COMMERCIAL OVERALL DISTRICT AL ONG THE WESTERN SIDE OF COLUMBIA STREET AT UNION STREET AN A DDITIONAL 50 FT","Completed","Brooklyn","ULURP","BK06","ZM","2008-12-15T05:00:00.000Z",,,,,,"2009-06-15T04:00:00.000Z",309,true,"[-74.0032836415299,40.684707071086]","[""C070504ZMK""]"
"P2009K0139",,"RED HOOK PLAY CNTR/SOL GOLDMAN POOL","LANDMARK SITE - 2241","Completed","Brooklyn","Non-ULURP","BK06","HK","2008-12-15T05:00:00.000Z",,,,,,"2009-02-02T05:00:00.000Z",309,true,"[-74.0038472974758,40.6727919318822]","[""N090218HKK""]"
"P2008K0422",,"MARCO POLO RESTAURANT","RENEWAL-ENCLOSED SIDEWALK CAFE WITH 30 SEATS","Completed","Brooklyn","Non-ULURP","BK06","EC","2008-12-24T05:00:00.000Z",,,,,,"2008-12-24T05:00:00.000Z",309,true,"[-73.9956808662483,40.6821991742864]","[""N080468ECK""]"
"P2008K0272","08DCP055K","CARROL GARDENS TEXT AMEND","TEXT CHANGE TO DEFINE CERTAIN STS AS NARROW STS","Completed","Brooklyn","Non-ULURP","BK06","ZR","2008-04-07T04:00:00.000Z",,,,,,"2008-07-28T04:00:00.000Z",309,false,"[null,null]","[""N080345ZRK""]"
"P2008K0098","07DCP073K","COLUMBIA HICKS PROJ","07DCP073K: TO REZONE PORTION OF BLOCK 299 FROM M1-1 TO R6A AND R6B; TO REZONE EASTERN PORTION OF BLOCK 304 FROM M1-1 TO R7A","Completed","Brooklyn","ULURP","BK06","ZM;HU;HU;ZM;HU;HU;HD;ZM;ZM;HD;HD;HD","2007-10-29T04:00:00.000Z",,,,,,"2008-04-21T04:00:00.000Z",309,false,"[null,null]","[""C080115HUK"",""C080116ZMK"",""C080117HDK""]"
"P2008K0091",,"PARK SLOPE FIFTH AVE BID","BUSINESS IMPROVEMENT DISTRICT COVERS 60 BLOCKS","Completed","Brooklyn","Non-ULURP","BK06;BK07","BD","2007-12-12T05:00:00.000Z",,,,,,"2008-02-29T05:00:00.000Z",309,false,"[null,null]","[""N080120BDK""]"
"P2007K0104","07DCP069K","130 COURT ST","07DCP069K: SPECIAL PERMIT TO WAIVE CERTAIN BULK REQUIREMENTS FOR DEVELO PMENT OF MIXED-USE BUILDING IN A R6/C2-3, LH-1 ZONE; Additional LPC #(s): 055606","Completed","Brooklyn","ULURP","BK06","ZS;ZS","2007-05-07T04:00:00.000Z",,,,,,"2007-12-05T05:00:00.000Z",309,true,"[-73.993038290975,40.6896083734176]","[""C070156ZSK""]"
"P2006K0361","06DCP095K","45 SUMMIT STREET","06DCP095K: ZONING CHANGE FROM M1-1 TO R6","Completed","Brooklyn","ULURP","BK06","ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM","2007-05-07T04:00:00.000Z",,,,,,"2007-11-03T04:00:00.000Z",309,true,"[-74.0048104989469,40.6829498101166]","[""C060477ZMK""]"
"P2007K0088",,"299 DEGRAW ST","UNRESTRICTED DISPOSITION OF A FORMER FIREHOUSE","Completed","Brooklyn","ULURP","BK06","PP","2006-11-13T05:00:00.000Z",,,,,,"2007-06-05T04:00:00.000Z",309,true,"[-73.99450482886,40.6837179778177]","[""C070134PPK""]"
"P2006K0015","06DCP002K","CARROLL ST","06DCP002K: TO REZONE FROM M1-1 TO R6 TO FACILITATE THE CONSTRUCTION OF TWO MULTI-FAMILY RESIDENTIAL BUILDINGS CONTAINING EIGHT DWEL LING UNITS ON THE SITE","Completed","Brooklyn","ULURP","BK06","ZM;ZM","2006-10-10T04:00:00.000Z",,,,,,"2007-04-03T04:00:00.000Z",309,true,"[-74.0044190219311,40.6834928606917]","[""C060018ZMK""]"
"P2007K0006",,"COIGNET STONE BLDG","LANDMARK SITE - LP2202","Completed","Brooklyn","Non-ULURP","BK06","HK","2006-07-24T04:00:00.000Z",,,,,,"2006-09-18T04:00:00.000Z",309,true,"[-73.9882955039758,40.6750157660097]","[""N070006HKK""]"
"P2004K0481",,"MARCO POLO RISTORANTE","RENEWAL-ENCLOSED SIDEWALK CAFE WITH 30 SEATS","Completed","Brooklyn","Non-ULURP","BK06","EC","2005-01-05T05:00:00.000Z",,,,,,"2005-01-05T05:00:00.000Z",309,true,"[-73.9956808662483,40.6821991742864]","[""N040340ECK""]"
"P2003K0344","03DCP041K","IKEA","03DCP041K: IKEA PROPERTY, INC. PROPOSES TO CONSTRUCT A 306,000 SQ. FT. IKEA FURNITURE AND HOME FURNISHINGS STORE IN RED HOOK","Completed","Brooklyn","ULURP","BK06","MM;ZA;ZM;ZS;ZC;MM;ZC;ZS;ZA;ZM;ZS;ZS","2004-04-26T04:00:00.000Z",,,,,,"2004-10-18T04:00:00.000Z",309,true,"[-74.0137863144659,40.6694772866582]","[""C030412MMK"",""C030413ZMK"",""C030414ZSK"",""C030415ZSK"",""N030416ZAK"",""N030418ZCK""]"
"P2003K0266","02BEL011K","BOE BKLYN WAREHOUSE","SITE SELECTION & ACQ OF TWO BLDGS FOR BD OF ELECT EQUIPMENT","Completed","Brooklyn","ULURP","BK06","PC;PC","2003-03-03T05:00:00.000Z",,,,,,"2003-07-31T04:00:00.000Z",309,true,"[-74.0018914974213,40.6725022072835]","[""C030311PCK""]"
"P2003K0253","03DCP030K","PARK SLOPE REZONING","03DCP030K: DCP PROPOSES ZONING MAP AMENDMENTS FOR 110 BLOCKS IN PARK SL OPE","Completed","Brooklyn","ULURP","BK06","ZM","2003-02-26T05:00:00.000Z",,,,,,"2003-05-05T04:00:00.000Z",309,false,"[null,null]","[""C030194AZMK""]"
"P2003K0168","03DCP030K","PARK SLOPE REZONING","DCP PROPOSES ZONING MAP AMENDMENTS FOR 110 BLOCKS IN PARK SL OPE","Completed","Brooklyn","ULURP","BK06","ZM","2002-11-18T05:00:00.000Z",,,,,,"2003-03-05T05:00:00.000Z",309,false,"[null,null]","[""C030194ZMK""]"
"P2002K0330","02HPD012K","MERCY HOME","CONSTRUCTION OF A DETACHED SINGLE-FAMILY HOME WITH A TOTAL OF EIGHT BED INDIVIDUALIZED RESIDENTIAL ALTERNATIVE HOUSING UNITS","Completed","Brooklyn","Non-ULURP","BK06","HA;HA","2002-06-10T04:00:00.000Z",,,,,,"2002-09-30T04:00:00.000Z",309,true,"[-73.9899650729331,40.6683230238059]","[""N020634HAK""]"
"P2002K0631",,"LATIN GRILL","NEW-UNENCLOSED SIDEWALK CAFE WITH 10 SEATS","Completed","Brooklyn","Non-ULURP","BK06","UC","2002-06-19T04:00:00.000Z",,,,,,"2002-06-19T04:00:00.000Z",309,true,"[-73.994780841058,40.685304972429]","[""N020558UCK""]"
"P2000K0291","00DCP056K","HARBOR TECH-5 DELEVAN","00DCP056K: CHANGE OF ZONE FROM M1-1 TO R6 TO ALLOW CONVERSION OF AN EXI STING WAREHOUSE TO 91 RESIDENTIAL UNITS","Completed","Brooklyn","ULURP","BK06","ZM;ZM;ZM","2001-09-10T04:00:00.000Z",,,,,,"2002-04-01T05:00:00.000Z",309,true,"[-74.0072477413866,40.6787299873832]","[""C000539ZMK""]"
"P2002K0176",,"CLAY RETORT & FIRE BRICK WORKS","LANDMARK SITE - LP2108 (BKLYN CLAY RETORT & FIRE BRICK WORKS*STOREHOUSE","Completed","Brooklyn","Non-ULURP","BK06","HK","2002-01-22T05:00:00.000Z",,,,,,"2002-03-18T05:00:00.000Z",309,true,"[-74.0133652282228,40.6750830948766]","[""N020280HKK""]"
"P2002K0033","00DME013K","C-O-P/RED HOOK STORES","00DME013K: DISPOSITION OF A CITY-OWNED WAREHOUSE","Completed","Brooklyn","ULURP","BK06","ZS;ZR;ZR;ZS;ZC;PP;ZC;ZM;ZM;PP","2001-08-20T04:00:00.000Z",,,,,,"2002-02-04T05:00:00.000Z",309,true,"[-74.0171409307777,40.6743306543877]","[""C020047ZMK"",""C020048PPK"",""C020049ZSK"",""N020046ZRK"",""N020050ZCK""]"
"P2001K0645",,"MIKE & TONY'S","RENEWAL-UNENCLOSED SIDEWALK CAFE WITH 12 SEATS FOR 5-YEARS","Completed","Brooklyn","Non-ULURP","BK06","UC","2001-06-25T04:00:00.000Z",,,,,,"2001-06-25T04:00:00.000Z",309,true,"[-73.9810225219893,40.6751461444754]","[""N010570UCK""]"
"P1999K0361","00DCP003K","TIFFANY PLACE REZONING","00DCP003K: TO REZONE FROM M1-1 TO R6","Completed","Brooklyn","ULURP","BK06","ZM","2000-08-21T04:00:00.000Z",,,,,,"2001-03-05T05:00:00.000Z",309,true,"[-74.0018881746387,40.6857137839797]","[""C990612ZMK""]"
"P2000K0012","00DCP020K","NEWSWALK (FORMER DAILY NEWS BLDG)","00DCP020K: TO REZONE PORTIONS OF BROOKYN BLOCKS 1127 AND 1128 FROM M1-1  TO C4-2A","Completed","Brooklyn","ULURP","BK06;BK08","ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM;ZM","2000-06-26T04:00:00.000Z",,,,,,"2001-02-12T05:00:00.000Z",309,true,"[-73.9723651568193,40.6815957706529]","[""C000024ZMK""]"
"P2000K0378","87-013K","LONG ISLAND COLLEGE HOSP LSCFD","444 SPACE ACCESSORY PARKING FACILITY TB282. TL1.","Completed","Brooklyn","Non-ULURP","BK06","ZA;ZA","2000-08-21T04:00:00.000Z",,,,,,"2000-08-31T04:00:00.000Z",309,true,"[-73.9990658265159,40.6904591289658]","[""M910375BZAK""]"
